id;code unit;unit_id;kode kegiatan;kegiatan;cost_type;name;kode
;11.11;Prodi Teknik Sipil (S1);1.05.02;Presensi mhs peserta praktikum;Honor;Honor/Upah;650.1.1.05.02.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.05.02;Presensi mhs peserta praktikum;Sewa;Sewa;650.1.1.05.02.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.05.02;Presensi mhs peserta praktikum;Outsource;Outsourcing;650.1.1.05.02.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.05.02;Presensi mhs peserta praktikum;Overhead;Overhead;650.1.1.05.02.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.01;Tersediaan sarana & prasarana ujian;Biaya Habis Pakai;Bahan habis pakai;650.1.1.06.01.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.01;Tersediaan sarana & prasarana ujian;Honor;Honor/Upah;650.1.1.06.01.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.01;Tersediaan sarana & prasarana ujian;Sewa;Sewa;650.1.1.06.01.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.01;Tersediaan sarana & prasarana ujian;Outsource;Outsourcing;650.1.1.06.01.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.01;Tersediaan sarana & prasarana ujian;Overhead;Overhead;650.1.1.06.01.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.02;Jadual ujian;Biaya Habis Pakai;Bahan habis pakai;650.1.1.06.02.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.02;Jadual ujian;Honor;Honor/Upah;650.1.1.06.02.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.02;Jadual ujian;Sewa;Sewa;650.1.1.06.02.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.02;Jadual ujian;Outsource;Outsourcing;650.1.1.06.02.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.02;Jadual ujian;Overhead;Overhead;650.1.1.06.02.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.03;KPU;Biaya Habis Pakai;Bahan habis pakai;650.1.1.06.03.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.03;KPU;Honor;Honor/Upah;650.1.1.06.03.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.03;KPU;Sewa;Sewa;650.1.1.06.03.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.03;KPU;Outsource;Outsourcing;650.1.1.06.03.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.03;KPU;Overhead;Overhead;650.1.1.06.03.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.04;Naskah ujian & lembar jawab;Biaya Habis Pakai;Bahan habis pakai;650.1.1.06.04.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.04;Naskah ujian & lembar jawab;Honor;Honor/Upah;650.1.1.06.04.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.04;Naskah ujian & lembar jawab;Sewa;Sewa;650.1.1.06.04.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.04;Naskah ujian & lembar jawab;Outsource;Outsourcing;650.1.1.06.04.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.04;Naskah ujian & lembar jawab;Overhead;Overhead;650.1.1.06.04.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.05;Daftar hadir & daftar nilai peserta ujian;Biaya Habis Pakai;Bahan habis pakai;650.1.1.06.05.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.05;Daftar hadir & daftar nilai peserta ujian;Honor;Honor/Upah;650.1.1.06.05.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.05;Daftar hadir & daftar nilai peserta ujian;Sewa;Sewa;650.1.1.06.05.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.05;Daftar hadir & daftar nilai peserta ujian;Outsource;Outsourcing;650.1.1.06.05.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.05;Daftar hadir & daftar nilai peserta ujian;Overhead;Overhead;650.1.1.06.05.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.06;Nilai akhir;Biaya Habis Pakai;Bahan habis pakai;650.1.1.06.06.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.06;Nilai akhir;Honor;Honor/Upah;650.1.1.06.06.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.06;Nilai akhir;Sewa;Sewa;650.1.1.06.06.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.06;Nilai akhir;Outsource;Outsourcing;650.1.1.06.06.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.06;Nilai akhir;Overhead;Overhead;650.1.1.06.06.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.07;Vakasi ujian;Biaya Habis Pakai;Bahan habis pakai;650.1.1.06.07.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.07;Vakasi ujian;Honor;Honor/Upah;650.1.1.06.07.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.07;Vakasi ujian;Sewa;Sewa;650.1.1.06.07.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.07;Vakasi ujian;Outsource;Outsourcing;650.1.1.06.07.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.06.07;Vakasi ujian;Overhead;Overhead;650.1.1.06.07.5.11.11
